# CLDR symbol names for hy: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	բացականչության նշան	բացականչության կետ | բացականչության նշան | բացականչություն | հարված
⇏	աջ կրկնակի սլաք՝ գծով	աջ կրկնակի սլաք՝ գծով
⇐	ձախ կրկնակի սլաք	ձախ կրկնակի սլաք
⇑	վեր կրկնակի սլաք	վեր կրկնակի սլաք
⇒	աջ կրկնակի սլաք	աջ կրկնակի սլաք
⇓	վար կրկնակի սլաք	վար կրկնակի սլաք
⇔	ձախ աջ կրկնակ սլաք	ձախ աջ կրկնակ սլաք
⇖	հյուսիս-արեւմտյան կրկնակի սլաք	հյուսիս-արեւմտյան կրկնակի սլաք
⇗	հյուսիս-արեւելյան կրկնակի սլաք	հյուսիս-արեւելյան կրկնակի սլաք
⇘	հարավ-արեւելյան կրկնակի սլաք	հարավ-արեւելյան կրկնակի սլաք
⇙	հարավ-արեւմտյան կրկնակի սլաք	հարավ-արեւմտյան կրկնակի սլաք
⇚	ձախ եռակի սլաք	ձախ եռակի սլաք
⇛	աջ եռակի սլաք	աջ եռակի սլաք
⇜	ձախ գալարավոր սլաք	ձախ գալարավոր սլաք
⇝	աջ գալարավոր սլաք	աջ գալարավոր սլաք
⇞	վեր սլաք՝ կրկնակի գծով	վեր սլաք՝ կրկնակի գծով
⇟	վար սլաք՝ կրկնակի գծով	վար սլաք՝ կրկնակի գծով
⇠	ձախ կետագծային սլաք	ձախ կետագծային սլաք
⇡	վեր կետագծային սլաք	վեր կետագծային սլաք
⇢	աջ կետագծային սլաք	աջ կետագծային սլաք
⇣	վար կետագծային սլաք	վար կետագծային սլաք
⇤	ձախ սլաք՝ ձողով	ձախ սլաք՝ ձողով
⇥	աջ սլաք՝ ձողով	աջ սլաք՝ ձողով
⇦	ձախ սնամեջ սլաք	ձախ սնամեջ սլաք
⇧	վեր սնամեջ սլաք	վեր սնամեջ սլաք
⇨	աջ սնամեջ սլաք	աջ սնամեջ սլաք
⇩	վար սնամեջ սլաք	վար սնամեջ սլաք
⇪	վեր սնամեջ սլաք՝ ձողից	վեր սնամեջ սլաք՝ ձողից
⇵	վար սլաք՝ վեր սլաքի ձախից	վար սլաք՝ վեր սլաքի ձախից
∀	բոլորի համար	բոլոր | բոլորի համար | հանրական | որեւէ | տրված
∂	մասնակի դիֆերենցիալ	դիֆերենցիալ | մասնակի դիֆերենցիալ
∃	գոյություն ունի	գոյություն ունի
∅	դատարկ բազմություն	բազմության գործարկու | դատարկ բազմություն | մաթեմատիկա
∆	ավելացում	ավելացում | եռանկյուն
∇	ատլեդ	ատլեդ | եռանկյուն
∈	()-ի տարր	()-ի տարր | անդամություն | բազմություն | պարունակում է | տարր
∉	տարր չէ	տարր | տարր չէ
∋	պարունակվում է որպես անդամ	պարունակվում է որպես անդամ | տարր
∎	ապացույցի վերջ	ապացույցի վերջ | ի․պ․ա․ | իպա | հալմոս | քառակուսի
∏	n-ական արտադրյալ	n-ական արտադրյալ | արտադրյալ | տրամաբանական
∑	n-ական գումար	n-ական գումար | գումար | մաթեմատիկա
−	մինուս նշան	հանել | մինուս | մինուս նշան
